Genus;Results from;Occurences
FCPU426_GENUS;Train Real Occurences;2.0
DESULFARCULACEAE_GENUS;Train Real Occurences;8.0
SULFUROVUM;Train Real Occurences;3.0
GEOFILUM;Train Real Occurences;2.0
CORIOBACTERIACEAE_GENUS;Train Real Occurences;41.0
AERIBACILLUS;Train Real Occurences;1.0
DESULFOMICROBIUM;Train Real Occurences;5.0
LISTERIA;Train Real Occurences;8.0
PARASUTTERELLA;Train Real Occurences;7.0
RICKETTSIALES_GENUS;Train Real Occurences;3.0
LIMNOCHORDACEAE_GENUS;Train Real Occurences;2.0
CALORAMATOR;Train Real Occurences;6.0
CALORIBACTERIUM;Train Real Occurences;1.0
PILIBACTER;Train Real Occurences;1.0
GEOMICROBIUM;Train Real Occurences;1.0
SUTTERELLA;Train Real Occurences;2.0
TAIBAIELLA;Train Real Occurences;12.0
THIOLAMPROVUM;Train Real Occurences;2.0
OCEANOSPIRILLACEAE_GENUS;Train Real Occurences;2.0
ATOPOSTIPES;Train Real Occurences;7.0
SPHINGOMONAS;Train Real Occurences;16.0
LACHNOSPIRACEAE_GENUS;Train Real Occurences;147.0
EUBACTERIUM;Train Real Occurences;3.0
METHANOSPHAERULA;Train Real Occurences;1.0
LACTOCOCCUS;Train Real Occurences;9.0
COPROBACILLUS;Train Real Occurences;5.0
CHRISTENSENELLA;Train Real Occurences;18.0
GAIELLA;Train Real Occurences;29.0
OXOBACTER;Train Real Occurences;10.0
GEMMATIMONADETES_GENUS;Train Real Occurences;19.0
PHENYLOBACTERIUM;Train Real Occurences;2.0
LACHNOSPIRACEAE_AC2044_GROUP;Train Real Occurences;18.0
ACETOBACTER;Train Real Occurences;10.0
GASTRANAEROPHILALES_GENUS;Train Real Occurences;27.0
THERMOMONOSPORA;Train Real Occurences;1.0
MICROCOCCALES_GENUS;Train Real Occurences;4.0
CALDITHRIX;Train Real Occurences;8.0
SOLOBACTERIUM;Train Real Occurences;24.0
ROMBOUTSIA;Train Real Occurences;1.0
LACHNOSPIRACEAE_UCG-005;Train Real Occurences;6.0
DELTAPROTEOBACTERIA_NB1-J_GENUS;Train Real Occurences;2.0
MELGHIRIBACILLUS;Train Real Occurences;1.0
PSYCHROBACILLUS;Train Real Occurences;1.0
BACTEROIDETES_VC2.1_GENUS;Train Real Occurences;2.0
ACIDOBACTERIACEAE_GENUS;Train Real Occurences;21.0
MARINIMICROBIUM;Train Real Occurences;4.0
SALINISPIRA;Train Real Occurences;3.0
METHYLOBACTERIACEAE_GENUS;Train Real Occurences;1.0
ANAEROLINEACEAE_GENUS;Train Real Occurences;5.0
DESULFOBACTERACEAE_GENUS;Train Real Occurences;10.0
EGGERTHELLA;Train Real Occurences;3.0
SHUTTLEWORTHIA;Train Real Occurences;2.0
ENTEROCOCCUS;Train Real Occurences;31.0
PORPHYROMONAS;Train Real Occurences;21.0
ELUSIMICROBIUM;Train Real Occurences;11.0
STREPTOSPORANGIALES_GENUS;Train Real Occurences;1.0
EMPEDOBACTER;Train Real Occurences;4.0
RUBROBACTER;Train Real Occurences;3.0
THERMACETOGENIUM;Train Real Occurences;1.0
RIKENELLACEAE_M2PB4-61;Train Real Occurences;1.0
CALDIBACILLUS;Train Real Occurences;1.0
GARCIELLA;Train Real Occurences;4.0
COPROCOCCUS;Train Real Occurences;7.0
PSEUDOFLAVONIFRACTOR;Train Real Occurences;6.0
AGGREGATIBACTER;Train Real Occurences;2.0
SYNTROPHOTHERMUS_GENUS;Train Real Occurences;3.0
EXIGUOBACTERIUM;Train Real Occurences;4.0
EHRLICHIA;Train Real Occurences;4.0
ROSEOCOCCUS;Train Real Occurences;3.0
CELLULOSILYTICUM;Train Real Occurences;9.0
CLOACIMONETES_FGL12-B44_GENUS;Train Real Occurences;2.0
[EUBACTERIUM]_SAPHENUM_GROUP;Train Real Occurences;16.0
SELENOMONAS;Train Real Occurences;11.0
GORDONIBACTER;Train Real Occurences;3.0
PARACOCCUS;Train Real Occurences;8.0
FUSOBACTERIUM;Train Real Occurences;6.0
OLIGOFLEXACEAE_GENUS;Train Real Occurences;4.0
RHODOFERAX;Train Real Occurences;1.0
PELOTOMACULUM;Train Real Occurences;5.0
SPHAEROCHAETA;Train Real Occurences;7.0
ALLOSCARDOVIA;Train Real Occurences;1.0
[EUBACTERIUM]_VENTRIOSUM_GROUP;Train Real Occurences;5.0
[EUBACTERIUM]_ELIGENS_GROUP;Train Real Occurences;3.0
PLANCTOMYCETACEAE_GENUS;Train Real Occurences;8.0
VIBRIO;Train Real Occurences;8.0
BACTEROIDETES_VADINHA17_GENUS;Train Real Occurences;13.0
PARACRAUROCOCCUS;Train Real Occurences;2.0
PSEUDOALTEROMONAS;Train Real Occurences;5.0
REHAIBACTERIUM;Train Real Occurences;2.0
AGITOCOCCUS;Train Real Occurences;1.0
SPOROBACTERIUM;Train Real Occurences;1.0
LACHNOSPIRACEAE_UCG-004;Train Real Occurences;11.0
ROSEBURIA;Train Real Occurences;10.0
CATENISPHAERA;Train Real Occurences;41.0
FERRITROPHICUM;Train Real Occurences;1.0
TISTLIA;Train Real Occurences;1.0
PIRELLULA;Train Real Occurences;5.0
CHLOROFLEXI_TK10_GENUS;Train Real Occurences;20.0
GRACILIBACTERIA_GENUS;Train Real Occurences;8.0
SANDARACINUS;Train Real Occurences;18.0
SPOROBACTER;Train Real Occurences;45.0
FLAVISOLIBACTER;Train Real Occurences;5.0
GLUCONACETOBACTER;Train Real Occurences;2.0
AERISCARDOVIA;Train Real Occurences;1.0
AZOVIBRIO;Train Real Occurences;1.0
THERMOGYMNOMONAS;Train Real Occurences;2.0
HYDROGENISPORA;Train Real Occurences;10.0
BACILLACEAE_GENUS;Train Real Occurences;1.0
TERRIGLOBUS;Train Real Occurences;2.0
CALDILINEA;Train Real Occurences;11.0
PARCUBACTERIA_GENUS;Train Real Occurences;2.0
AMARICOCCUS;Train Real Occurences;8.0
PORTIBACTER;Train Real Occurences;11.0
HYDROGENOPHAGA;Train Real Occurences;3.0
EUZEBYA;Train Real Occurences;3.0
PLEOMORPHOBACTERIUM;Train Real Occurences;6.0
MYCOPLASMA;Train Real Occurences;16.0
REYRANELLA;Train Real Occurences;3.0
GLOBICATELLA;Train Real Occurences;2.0
VERTICA;Train Real Occurences;1.0
VERTICIA;Train Real Occurences;1.0
SPHINGOBIUM;Train Real Occurences;5.0
VIRGISPORANGIUM;Train Real Occurences;1.0
ETHANOLIGENENS;Train Real Occurences;2.0
EUBACTERIACEAE_GENUS;Train Real Occurences;1.0
MUCILAGINIBACTER;Train Real Occurences;11.0
ALKANINDIGES;Train Real Occurences;2.0
SACCHARIBACTERIA_GENUS;Train Real Occurences;7.0
HALOBACTERIOVORAX;Train Real Occurences;3.0
ARIDIBACTER;Train Real Occurences;9.0
WOLBACHIA;Train Real Occurences;1.0
HESPELLIA;Train Real Occurences;3.0
SERRATIA;Train Real Occurences;8.0
PHYCICOCCUS;Train Real Occurences;3.0
LEADBETTERELLA;Train Real Occurences;1.0
PORPHYROMONADACEAE_GENUS;Train Real Occurences;2.0
PLEOMORPHOMONAS;Train Real Occurences;3.0
GEOTHRIX;Train Real Occurences;30.0
LACHNOSPIRACEAE_NK4A136_GROUP;Train Real Occurences;31.0
DESULFOVIBRIO;Train Real Occurences;32.0
ALPHAPROTEOBACTERIA_GENUS;Train Real Occurences;13.0
LUTEIMONAS;Train Real Occurences;5.0
PARVULARCULA;Train Real Occurences;8.0
DESULFOBACTERIUM;Train Real Occurences;5.0
CATELLATOSPORA;Train Real Occurences;5.0
SPHINGOPYXIS;Train Real Occurences;6.0
OCEANISPHAERA;Train Real Occurences;1.0
SYNTROPHOBACTER;Train Real Occurences;10.0
OLIGOFLEXALES_0319-6G20_GENUS;Train Real Occurences;11.0
DIETZIA;Train Real Occurences;3.0
LACHNOCLOSTRIDIUM;Train Real Occurences;55.0
DESULFATIGLANS;Train Real Occurences;9.0
METHYLOBACTERIUM;Train Real Occurences;4.0
BACTEROIDALES_GENUS;Train Real Occurences;6.0
VAGOCOCCUS;Train Real Occurences;5.0
DESULFOBULBUS;Train Real Occurences;13.0
DEFERRIBACTERES_GENUS;Train Real Occurences;22.0
SPIROCHAETA;Train Real Occurences;20.0
DEHALOCOCCOIDES;Train Real Occurences;11.0
AMYCOLATOPSIS;Train Real Occurences;2.0
ALIIFODINIBIUS;Train Real Occurences;8.0
COPROBACTER;Train Real Occurences;7.0
ACIDOBACTERIA_GENUS;Train Real Occurences;1.0
ACTINOMYCES;Train Real Occurences;26.0
ACETIVIBRIO_ETHANOLGIGNENS_GROUP;Train Real Occurences;11.0
VULCANIIBACTERIUM;Train Real Occurences;1.0
LATESCIBACTERIA_GENUS;Train Real Occurences;18.0
CAMPYLOBACTER;Train Real Occurences;10.0
DERXIA;Train Real Occurences;5.0
BACTEROIDIA_GENUS;Train Real Occurences;10.0
METHANOBREVIBACTER;Train Real Occurences;8.0
YERSINIA;Train Real Occurences;5.0
CAMELIMONAS;Train Real Occurences;2.0
RHODOCYCLACEAE_GENUS;Train Real Occurences;11.0
MARINOBACTER;Train Real Occurences;5.0
SEDIMINIBACTERIUM;Train Real Occurences;9.0
FRANKIALES_GENUS;Train Real Occurences;6.0
BRC1_GENUS;Train Real Occurences;6.0
ANCALOMICROBIUM;Train Real Occurences;1.0
ANAEROBACULUM;Train Real Occurences;4.0
[EUBACTERIUM]_YURII_GROUP;Train Real Occurences;5.0
AGROCOCCUS;Train Real Occurences;1.0
CRONOBACTER;Train Real Occurences;3.0
CAULOBACTER;Train Real Occurences;4.0
ACETIVIBRIO;Train Real Occurences;1.0
IGNAVIBACTERIALES_SM1H02_GENUS;Train Real Occurences;1.0
CALDERIHABITANS;Train Real Occurences;1.0
HELIOBACILLUS;Train Real Occurences;1.0
MEIOTHERMUS;Train Real Occurences;1.0
CASTELLANIELLA;Train Real Occurences;1.0
PROMICROMONOSPORA;Train Real Occurences;2.0
ACIDIPHILIUM;Train Real Occurences;8.0
ACETOBACTERACEAE_GENUS;Train Real Occurences;4.0
FULVIVIRGA;Train Real Occurences;2.0
LEEIA;Train Real Occurences;1.0
DEFLUVIIMONAS;Train Real Occurences;3.0
SACCHAROTHRIX;Train Real Occurences;1.0
MEGANEMA;Train Real Occurences;2.0
CRYOMORPHA;Train Real Occurences;1.0
[EUBACTERIUM]_RUMINANTIUM_GROUP;Train Real Occurences;7.0
AZOSPIRILLUM;Train Real Occurences;6.0
THERMOVENABULUM;Train Real Occurences;1.0
DESULFOSARCINA;Train Real Occurences;4.0
MARIHABITANS;Train Real Occurences;1.0
MARINOSCILLUM;Train Real Occurences;3.0
GEOBACILLUS;Train Real Occurences;1.0
TREPONEMA_;Train Real Occurences;1.0
HYPHOMONAS;Train Real Occurences;2.0
HALOBACTERIUM;Train Real Occurences;2.0
OWENWEEKSIA;Train Real Occurences;5.0
SMITHELLA;Train Real Occurences;3.0
AMNIBACTERIUM;Train Real Occurences;1.0
AESTUARIISPIRA;Train Real Occurences;1.0
SALINICOCCUS;Train Real Occurences;7.0
DESULFUROCOCCACEAE_GENUS;Train Real Occurences;1.0
SNEATHIA;Train Real Occurences;5.0
SALINISPHAERACEAE_GENUS;Train Real Occurences;2.0
THIOALKALISPIRACEAE_GENUS;Train Real Occurences;4.0
GLOEOCAPSA;Train Real Occurences;1.0
DEFLUVIITALEACEAE_GENUS;Train Real Occurences;8.0
AFIFELLA;Train Real Occurences;1.0
PARABACTEROIDES;Train Real Occurences;12.0
HANSSCHLEGELIA;Train Real Occurences;2.0
CELLULOSIBACTER;Train Real Occurences;5.0
NESTERENKONIA;Train Real Occurences;5.0
CRYOMORPHACEAE_GENUS;Train Real Occurences;6.0
PILIMELIA;Train Real Occurences;1.0
CATELLICOCCUS;Train Real Occurences;2.0
PLANCTOMYCETACIA_GENUS;Train Real Occurences;1.0
KLUYVERA;Train Real Occurences;1.0
FERRIMICROBIUM;Train Real Occurences;2.0
STELLA;Train Real Occurences;9.0
MARINOBACTERIUM;Train Real Occurences;6.0
ARMATIMONADACEAE_GENUS;Train Real Occurences;4.0
DESULFOFUSTIS;Train Real Occurences;2.0
ZHONGSHANIA;Train Real Occurences;1.0
GEOBACTER;Train Real Occurences;12.0
TUMEBACILLUS;Train Real Occurences;2.0
GEMELLA;Train Real Occurences;2.0
GEMMIGER;Train Real Occurences;5.0
NOCARDIOIDES;Train Real Occurences;34.0
GORDONIA;Train Real Occurences;6.0
PARAPREVOTELLA;Train Real Occurences;11.0
THERMOSYNTROPHA;Train Real Occurences;1.0
AMINICELLA;Train Real Occurences;6.0
OCHROBACTRUM;Train Real Occurences;4.0
MELGHIRIMYCES;Train Real Occurences;4.0
MYCOBACTERIUM;Train Real Occurences;7.0
THERMUS;Train Real Occurences;1.0
MORYELLA;Train Real Occurences;1.0
AESTUARIIBACTER;Train Real Occurences;2.0
CARBOXYDOCELLA;Train Real Occurences;1.0
ACTINOTIGNUM;Train Real Occurences;2.0
THERMOTALEA;Train Real Occurences;1.0
AMYLIBACTER;Train Real Occurences;1.0
DESULFOBOTULUS;Train Real Occurences;1.0
TELMATOCOLA;Train Real Occurences;1.0
THERMOTOGA;Train Real Occurences;1.0
PEPTONIPHILUS;Train Real Occurences;16.0
SPIROPLASMA;Train Real Occurences;6.0
MARINILABILIA;Train Real Occurences;1.0
MEGASPHAERA;Train Real Occurences;5.0
ADHAERIBACTER;Train Real Occurences;2.0
ALKALISPIROCHAETA;Train Real Occurences;3.0
THIOBACILLUS;Train Real Occurences;2.0
SUCCINICLASTICUM;Train Real Occurences;4.0
METHANOSPIRILLUM;Train Real Occurences;2.0
MARINIFILUM;Train Real Occurences;3.0
CALDANAEROBIUS;Train Real Occurences;1.0
CALDITERRICOLA;Train Real Occurences;1.0
AGROMYCES;Train Real Occurences;3.0
DESULFOPILA;Train Real Occurences;2.0
THERMAEROBACTER;Train Real Occurences;1.0
THERMINCOLA;Train Real Occurences;1.0
PSEUDOBACTERIOVORAX;Train Real Occurences;3.0
ROSEIARCUS;Train Real Occurences;2.0
CITROBACTER;Train Real Occurences;3.0
EZAKIELLA;Train Real Occurences;2.0
AKKERMANSIA;Train Real Occurences;4.0
ACTINOBACTERIA_GENUS;Train Real Occurences;10.0
SPOROCYTOPHAGA;Train Real Occurences;6.0
XANTHOMONADALES_GENUS;Train Real Occurences;1.0
ACTINOCATENISPORA;Train Real Occurences;1.0
ACTINOCORALLIA;Train Real Occurences;1.0
RUBELLIMICROBIUM;Train Real Occurences;5.0
GEOVIBRIO;Train Real Occurences;1.0
STEROIDOBACTER;Train Real Occurences;6.0
HALOMONAS;Train Real Occurences;9.0
PROTEINICLASTICUM;Train Real Occurences;4.0
OCEANIVIRGA;Train Real Occurences;1.0
SALINIBACILLUS;Train Real Occurences;1.0
MOHEIBACTER;Train Real Occurences;6.0
AUREIBACTER;Train Real Occurences;1.0
DEHALOGENIMONAS;Train Real Occurences;11.0
PANTOEA;Train Real Occurences;6.0
PROTEINIPHILUM;Train Real Occurences;7.0
THIOALKALIVIBRIO;Train Real Occurences;3.0
SEDIMENTIBACTER;Train Real Occurences;6.0
ANAEROBACTER;Train Real Occurences;1.0
FACKLAMIA;Train Real Occurences;10.0
BURKHOLDERIALES_GENUS;Train Real Occurences;15.0
ANAEROARCUS;Train Real Occurences;1.0
ANAEROVIRGULA;Train Real Occurences;2.0
COMAMONAS;Train Real Occurences;2.0
ACTINOPLANES;Train Real Occurences;2.0
RHODOPLANES;Train Real Occurences;8.0
SALINISPHAERA;Train Real Occurences;2.0
VALLITALEA;Train Real Occurences;2.0
CRYPTANAEROBACTER;Train Real Occurences;3.0
AMINICENANTES_GENUS;Train Real Occurences;3.0
FIBROBACTER;Train Real Occurences;3.0
REICHENBACHIELLA;Train Real Occurences;1.0
ACTINOKINEOSPORA;Train Real Occurences;1.0
ACTINOMADURA;Train Real Occurences;6.0
ABSCONDITABACTERIA_[SR1]_GENUS;Train Real Occurences;1.0
TISTRELLA;Train Real Occurences;2.0
BACTERIOVORAX;Train Real Occurences;2.0
PSEUDOSCARDOVIA;Train Real Occurences;1.0
SUNXIUQINIA;Train Real Occurences;3.0
AUREIMONAS;Train Real Occurences;5.0
HELCOCOCCUS;Train Real Occurences;10.0
LACHNOANAEROBACULUM;Train Real Occurences;1.0
ASAIA;Train Real Occurences;1.0
ECTOTHIORHODOSPIRACEAE_GENUS;Train Real Occurences;28.0
THALASSOSPIRA;Train Real Occurences;3.0
RICKETTSIA;Train Real Occurences;3.0
AKYG1722_GENUS;Train Real Occurences;4.0
LEUCOBACTER;Train Real Occurences;7.0
BACTEROIDALES_BS11_GUT_GROUP_GENUS;Train Real Occurences;12.0
MARINOSPIRILLUM;Train Real Occurences;1.0
METHANOLINEA;Train Real Occurences;2.0
BRADYRHIZOBIUM;Train Real Occurences;6.0
[EUBACTERIUM]_CELLULOSOLVENS_GROUP;Train Real Occurences;1.0
TRUEPERA;Train Real Occurences;4.0
METHYLOCEANIBACTER;Train Real Occurences;2.0
[EUBACTERIUM]_COPROSTANOLIGENES_GROUP;Train Real Occurences;25.0
SPONGIIBACTER;Train Real Occurences;2.0
DESULFONATRONOBACTER;Train Real Occurences;1.0
VOGESELLA;Train Real Occurences;1.0
METHANOCULLEUS;Train Real Occurences;2.0
SPORACETIGENIUM;Train Real Occurences;1.0
VARIOVORAX;Train Real Occurences;3.0
DESULFOBULBACEAE_GENUS;Train Real Occurences;6.0
