Genus;Train Real Occurences;Train Model Adjusted Occurences;Test Real Occurences;Test Model Adjusted Occurences
ML635J-21_GENUS;8.0;7.259204403064612;0.0;1.0030770158151348
PEDOBACTER;16.0;13.838817363052259;1.0;4.12119699430758
COLWELLIA;2.0;2.5133742303399735;0.0;0.02472345082099206
ARSENOPHONUS;1.0;0.300734363825952;0.0;0.00031867744674216145
SPOROSARCINA;4.0;2.917182560628082;3.0;2.000422397786018
ALLOCHROMATIUM;1.0;1.0898819132374271;0.0;2.7681897552952664e-05
SOLITALEA;5.0;3.645953786619408;2.0;1.002036510971785
MARIPROFUNDUS;2.0;2.2260422185665765;0.0;8.445642030432965e-05
RHODANOBACTER;3.0;4.279418402458015;0.0;0.04531060842164408
POLYANGIUM;5.0;4.797382180588029;0.0;0.8952732118874136
DEPENDENTIAE_[TM6]_GENUS;12.0;11.30959647876621;1.0;1.5142961842407607
TOMITELLA;2.0;2.00189089631563;0.0;0.0012075922971869577
PLASTICICUMULANS;2.0;2.000459897990316;0.0;0.0026365787803743095
TRANQUILLIMONAS;1.0;1.0002111762885588;0.0;0.00217775177861935
PARABURKHOLDERIA;2.0;1.3153990634441137;0.0;0.00022505491860631745
RUMINOCOCCACEAE_GENUS;253.0;272.28004351990177;63.0;83.8092878701682
TURICELLA;1.0;1.0000066099543572;0.0;1.3490083516222266e-05
ERYSIPELATOCLOSTRIDIUM;8.0;8.000861057053847;3.0;2.8761075677783756
PSEUDOCLAVIBACTER;4.0;4.22433850732681;1.0;2.6684343453161934
PYRINOMONAS;7.0;6.627423272760813;3.0;1.5417100984841476
METHYLOCYSTIS;6.0;6.641216416781206;2.0;3.458702873540881
EDAPHOBACTER;1.0;0.6159132477957798;0.0;5.214093568356665e-05
TURICIBACTER;1.0;1.0068802638161278;0.0;0.0006924833692984806
HELIORESTIS;1.0;1.0001586820202513;0.0;2.03741775539148e-05
UNDIBACTERIUM;4.0;3.1043322768254997;4.0;4.00034567806081
ANAEROTRUNCUS;38.0;29.194155810729903;8.0;3.61556502896481
DESULFUROMONAS;11.0;10.441236175259109;3.0;3.005581973839731
BUTYRICIMONAS;5.0;5.001621730020009;0.0;0.0034918719221727623
BUTYRIVIBRIO;10.0;10.000261413343374;4.0;3.0008477540473724
ARMATIMONADETES_GENUS;1.0;1.0000980378650357;0.0;4.5447289260157385e-05
SUCCINIVIBRIO;2.0;2.0009078246570873;0.0;0.0001362337123896884
RUMINOCLOSTRIDIUM;2.0;1.4041175823685796;0.0;0.00028079580668403427
RHIZOBIALES_GENUS;8.0;9.545891170555132;4.0;3.4535269320110253
LYSOBACTER;11.0;10.378713371469388;3.0;5.551504929416634
METHANOMASSILIICOCCUS;12.0;12.004869326039302;0.0;1.0003485008595954
FILOMICROBIUM;1.0;1.0040804271956876;0.0;2.8569847017591235e-05
TEPIDIMICROBIUM;12.0;12.41061230588927;1.0;4.3883829557473675
BACTEROIDETES_SB-5_GENUS;13.0;13.077961254707212;2.0;1.335605047461756
CLOSTRIDIUM;60.0;63.59390036865034;15.0;15.666212045910527
PERSICITALEA;2.0;2.364053540258458;0.0;0.009649580925343359
THERMOBIFIDA;1.0;0.6142529922147395;1.0;1.0000099340586004
GLUCONOBACTER;2.0;2.451997743962908;0.0;0.00017337305414027982
ORIBACTERIUM;9.0;9.535823141347027;1.0;0.9212735762734867
FLAVOBACTERIUM;36.0;36.460117374265096;4.0;7.8403408070900475
STREPTOMYCES;9.0;7.144281869224856;6.0;5.282107893631336
STOMATOBACULUM;1.0;1.0005685442723427;0.0;5.3405039679828145e-06
PAPILLIBACTER;10.0;11.495053303501589;2.0;1.6723129761633415
BREVIBACTERIUM;12.0;10.00370724196381;3.0;2.12813388028915
TREPONEMA;44.0;43.45802616342148;16.0;16.356641865141064
ANAEROBACTERIUM;98.0;97.78771942910245;26.0;24.764234434050366
PSEUDOHONGIELLA;3.0;3.004953563245116;0.0;0.0014713036016619566
RIKENELLACEAE_RC9_GUT_GROUP;34.0;33.48129060904293;12.0;13.008750226165777
RUMINICLOSTRIDIUM;93.0;91.01358575753983;25.0;26.971589483545475
BACTEROIDES;39.0;39.468166167954124;21.0;20.91099147846052
DELTAPROTEOBACTERIA_GENUS;26.0;25.424745542616144;6.0;6.303148913060886
CLOSTRIDIALES_GENUS;28.0;29.420155370494058;4.0;3.375038789703873
AMORPHUS;1.0;1.001983909972581;1.0;3.846040138030427e-05
RUBRICOCCUS;7.0;7.2799859453229665;0.0;1.2982187182679756
BHARGAVAEA;1.0;1.0019866613857153;0.0;0.0004012684396404826
TURNERIELLA;1.0;1.000558755155987;0.0;0.000536878796075299
RHODOVIBRIO;1.0;1.004293309832452;0.0;1.0000032695126648
CHLOROBIALES_OPB56_GENUS;10.0;9.452428470599692;6.0;5.582441020099131
PECTINATUS;2.0;2.0001315011623153;0.0;1.280676933910286
TAONELLA;3.0;3.001330291583397;0.0;0.5053703943398192
METHYLOTENERA;3.0;2.9329316135133197;1.0;0.006039837686299465
TERRIBACILLUS;1.0;1.000628880983094;0.0;0.4607784030725327
BACTEROIDETES_VC2.1_BAC22_GENUS;4.0;4.001146954277477;0.0;1.0137188337658156
ARCICELLA;1.0;1.0000245120446942;1.0;1.000682172710675
KANGIELLA;2.0;2.0146084456297473;0.0;0.001800826318107863
SYNTROPHOMONAS;7.0;7.000178343855381;3.0;3.000287471099185
DIPLORICKETTSIA;2.0;1.3234963089454286;1.0;1.000443509589874
HYDROGENOANAEROBACTERIUM;3.0;2.7202315397205634;0.0;3.707107142852592e-05
DYSGONOMONAS;16.0;16.7875832864257;3.0;4.299880517991349
ALLOFUSTIS;1.0;1.0014463271418996;0.0;0.00031780940432952207
ELIZABETHKINGIA;1.0;1.0005520916715696;0.0;0.0006450860827436492
PEPTOCOCCACEAE_GENUS;16.0;16.00227405758283;0.0;2.5135697427158146
IGNAVIBACTERIUM;6.0;7.0092517638877;0.0;1.0034981116663702
ARMATIMONAS;8.0;8.69595109760012;2.0;1.0097960408311863
ALLOPREVOTELLA;18.0;18.007186369826396;7.0;8.176459924975266
ANAEROVORAX;21.0;17.839723384803598;12.0;10.070967794981469
RHODOCYTOPHAGA;1.0;1.001589355384008;0.0;0.0005495697588430303
LUTEIBACTER;1.0;0.009659703963165511;0.0;0.0030983214436294797
DESULFOCOCCUS;5.0;5.421626970450635;1.0;1.0000091724273874
BARNESIELLA;77.0;77.00048702032366;22.0;22.00844098269475
DESULFOTOMACULUM;17.0;17.623656378200316;1.0;2.2440474824389316
CLOSTRIDIALES_VADINBB60_GROUP_GENUS;55.0;55.88769723862405;17.0;20.908038950842066
ACIDITERRIMONAS;45.0;46.27594214582563;14.0;20.668213572775763
TELMATOBACTER;3.0;3.001163081607558;0.0;0.011583325955030104
BLASTOCATELLA;6.0;6.384210457109129;3.0;2.2285327469488756
HYPHOMICROBIUM;10.0;9.634364760638652;0.0;1.0139427864947739
DOMIBACILLUS;2.0;0.8790662231488436;0.0;0.0007833189154892372
MARIVIRGA;9.0;8.959575876851376;2.0;5.456041638962251
PEDIOCOCCUS;9.0;9.00751924360667;1.0;2.3223107594868595
LUEDEMANNELLA;1.0;1.0002771542838396;2.0;1.0014380162261345
VICTIVALLIS;13.0;14.392993757348615;3.0;3.006979009315346
FUSIBACTER;9.0;8.976937402933638;4.0;3.839820048513554
INQUILINUS;6.0;6.434878182845535;0.0;1.0105569677799469
RHODOBIACEAE_GENUS;2.0;2.001305650898953;0.0;0.0005412123044523352
ERYSIPELOTHRIX;15.0;15.002622944630325;6.0;7.05331419983905
TRUEPERELLA;2.0;2.000276550372786;0.0;0.0003141829784016562
LYSINIBACILLUS;8.0;5.992617868207295;1.0;0.002210437593308751
ACIDISPHAERA;14.0;14.111474833713048;4.0;2.011599794893197
SPHINGOBACTERIUM;36.0;35.099450787752794;5.0;4.296288659930524
HYMENOBACTER;6.0;6.000543622470309;3.0;3.0812122381412794
METHYLOCAPSA;1.0;0.21827546287415434;0.0;0.0003313369886673659
STENOTROPHOMONAS;5.0;5.001414463640607;1.0;1.1298900128612053
BACTEROIDETES_GENUS;5.0;6.544038621165521;0.0;0.5659845520574164
THERMOANAEROBACULUM;4.0;3.244352787192236;3.0;2.0008007179402667
ACTINOBACULUM;2.0;1.5719963216829087;0.0;8.877273534280139e-05
FENOLLARIA;1.0;1.0000560293262482;0.0;7.893929965704038e-05
GALLIBACTERIUM;4.0;3.1495944327483367;0.0;0.6771511302298516
SEGETIBACTER;5.0;3.356233280972814;0.0;0.388538245114324
GEMMATIMONAS;44.0;41.56915521399974;10.0;9.626374122434953
PALUDIBACULUM;29.0;29.91292808195925;4.0;6.555207890634214
ALLOIOCOCCUS;1.0;1.0011984414787203;1.0;0.0004515840177302414
OCEANIBACULUM;2.0;1.6091871049702666;0.0;0.0044912728370920165
OLSENELLA;6.0;6.000843100892325;4.0;6.024184858699132
LACHNOSPIRACEAE_NK3A20_GROUP;17.0;15.907652638791157;7.0;6.928310017925235
TYZZERELLA;28.0;28.427664658645696;5.0;6.383904192541
CROCINITOMIX;3.0;3.005891220224466;1.0;0.015738004562875663
SUCCINATIMONAS;2.0;2.005816141746986;0.0;1.0000034581767572
LABILITHRIX;7.0;7.018866632864548;1.0;1.2979364523018435
OCEANOBACILLUS;7.0;7.006291419602173;2.0;2.442019377186382
HALOCELLA;4.0;4.000729543306337;3.0;2.3597985538423476
MARINILABIACEAE_GENUS;2.0;2.0062067244254487;0.0;0.4804561826096852
BLAUTIA;22.0;24.163549613034856;9.0;9.948800164659497
RHODOSPIRILLACEAE_GENUS;29.0;29.470750134104755;9.0;11.129682747288625
SODALIS;2.0;2.3055783079503893;0.0;0.27989980478390947
THERMOGUTTA;2.0;2.0064740006546398;0.0;0.012765948707064332
ROSEOMONAS;14.0;14.293005598064301;1.0;3.4431001864638024
ANAEROSPOROBACTER;4.0;3.2296982342750518;3.0;0.8728183052288148
PROSTHECOMICROBIUM;1.0;1.002014386549931;1.0;1.5127380740594572e-06
MOBILITALEA;10.0;13.488326065675809;1.0;3.8942877481268736
ARCOBACTER;9.0;9.511089111430174;2.0;2.0007981184196915
LEWINELLA;13.0;12.62244821759122;2.0;4.584110932504254
HALISCOMENOBACTER;12.0;12.003904153989016;1.0;1.2582376910224913
FLAVONIFRACTOR;9.0;11.647659915171868;2.0;3.5049365287539787
ROSEIFLEXUS;7.0;7.008988767376277;3.0;3.0009454004313882
LUTEOLIBACTER;5.0;4.7312915219023886;4.0;5.00030167523595
PARASEGETIBACTER;4.0;2.266079033612232;1.0;2.2203074984691786e-05
FCPU426_GENUS;2.0;1.0020508965347121;0.0;0.0003556506659447804
DESULFARCULACEAE_GENUS;8.0;8.014077510034344;1.0;0.759024754716321
SULFUROVUM;3.0;2.6000778154564266;1.0;1.0000184679091022
GEOFILUM;2.0;1.7738803398010514;0.0;0.0035991916192614007
CORIOBACTERIACEAE_GENUS;41.0;42.38809824431183;7.0;9.103650419500113
AERIBACILLUS;1.0;1.921798836299958;0.0;0.2217087897374097
DESULFOMICROBIUM;5.0;6.626692638608616;1.0;0.9997974240157143
LISTERIA;8.0;8.001336109691227;1.0;2.43310746250215
PARASUTTERELLA;7.0;6.75381535241791;1.0;3.630330431596382
RICKETTSIALES_GENUS;3.0;2.0016102290812188;0.0;8.061912552082082e-05
LIMNOCHORDACEAE_GENUS;2.0;2.0005845038685983;1.0;0.004526837428933259
CALORAMATOR;6.0;6.004317019218595;1.0;1.0124941458572438
CALORIBACTERIUM;1.0;0.7426247146974725;0.0;8.69395397734992e-05
PILIBACTER;1.0;1.000115396589652;0.0;0.003757177673878615
GEOMICROBIUM;1.0;1.006748823120893;0.0;0.0005003672053632052
SUTTERELLA;2.0;2.2970685391569123;2.0;2.0285904634234697
TAIBAIELLA;12.0;11.855724612969496;2.0;2.000441848149996
THIOLAMPROVUM;2.0;2.0100956968251005;0.0;0.0007838890870132073
OCEANOSPIRILLACEAE_GENUS;2.0;2.0004775418046745;0.0;0.4637485802588956
ATOPOSTIPES;7.0;7.00273105682148;2.0;2.003849779351172
SPHINGOMONAS;16.0;15.881624540706051;6.0;6.003553403875167
LACHNOSPIRACEAE_GENUS;147.0;156.68028929561981;31.0;52.7750675364163
EUBACTERIUM;3.0;3.0000577206655086;3.0;2.061441772948246
METHANOSPHAERULA;1.0;1.000055147980433;0.0;0.3087102217486877
LACTOCOCCUS;9.0;8.602845638326983;3.0;4.002474943157216
COPROBACILLUS;5.0;5.006170314913463;0.0;1.0797598780281894
CHRISTENSENELLA;18.0;16.502512137748763;7.0;4.566523889949981
GAIELLA;29.0;29.700190883285536;4.0;5.633548128429085
OXOBACTER;10.0;10.135171779096758;1.0;0.31082539371043594
GEMMATIMONADETES_GENUS;19.0;21.399793258788588;6.0;5.742314549949475
PHENYLOBACTERIUM;2.0;1.2922306556460788;0.0;8.076907036620682e-05
LACHNOSPIRACEAE_AC2044_GROUP;18.0;11.219400990100581;8.0;1.7344202584252535
ACETOBACTER;10.0;10.004258046233872;1.0;2.1077342909508827
GASTRANAEROPHILALES_GENUS;27.0;27.00274943922633;6.0;6.001636024278585
THERMOMONOSPORA;1.0;1.0000852494043717;0.0;6.152660270926851e-06
MICROCOCCALES_GENUS;4.0;3.466177051129522;0.0;1.9431980683045704
CALDITHRIX;8.0;8.001616314726599;3.0;3.2312840412123545
SOLOBACTERIUM;24.0;24.115432431479448;7.0;11.00088129233772
ROMBOUTSIA;1.0;3.000074790670108;1.0;0.005221418983645306
LACHNOSPIRACEAE_UCG-005;6.0;6.945767467749771;1.0;2.0441234621845252
DELTAPROTEOBACTERIA_NB1-J_GENUS;2.0;2.2701475249106737;1.0;0.00014773532849462494
MELGHIRIBACILLUS;1.0;0.04222997338127976;0.0;1.816870098219099e-05
PSYCHROBACILLUS;1.0;1.0045843824284288;0.0;0.00020047628812193944
BACTEROIDETES_VC2.1_GENUS;2.0;2.0008235443227678;0.0;0.0024327818843417606
ACIDOBACTERIACEAE_GENUS;21.0;19.89962580662276;3.0;2.3827606408771027
MARINIMICROBIUM;4.0;4.001216914090973;2.0;3.2360408405506047
SALINISPIRA;3.0;3.019339536348295;0.0;0.05000913686250302
METHYLOBACTERIACEAE_GENUS;1.0;1.000320695568815;0.0;1.6011279705245747e-05
ANAEROLINEACEAE_GENUS;5.0;5.005299516320334;2.0;0.4994804491628741
DESULFOBACTERACEAE_GENUS;10.0;9.425586465841743;1.0;1.2920939212550813
EGGERTHELLA;3.0;3.0041671268652075;0.0;0.6656051098347147
SHUTTLEWORTHIA;2.0;2.0005694783272836;0.0;6.031555374126681e-05
ENTEROCOCCUS;31.0;30.242060944504185;3.0;3.457129849554175
PORPHYROMONAS;21.0;20.000176360776766;2.0;1.0523772917905347
ELUSIMICROBIUM;11.0;10.917555049119303;6.0;6.008813026187877
STREPTOSPORANGIALES_GENUS;1.0;0.0004896815582452629;0.0;0.5790546583925725
EMPEDOBACTER;4.0;4.028633703434592;0.0;0.6183185636516475
RUBROBACTER;3.0;3.0019657108440283;1.0;0.0004379861556887641
THERMACETOGENIUM;1.0;1.005697743288697;0.0;0.000423336532736243
RIKENELLACEAE_M2PB4-61;1.0;1.0000050029322933;0.0;0.00014047931780648967
CALDIBACILLUS;1.0;1.002589067381198;0.0;0.0005996945922300522
GARCIELLA;4.0;3.000115720748652;1.0;0.5626195734725188
COPROCOCCUS;7.0;5.224111471354803;6.0;0.9019574540906337
PSEUDOFLAVONIFRACTOR;6.0;6.000372453826898;3.0;2.4922413746590504
AGGREGATIBACTER;2.0;2.2338539745815806;0.0;0.0028386102975919265
SYNTROPHOTHERMUS_GENUS;3.0;3.004978314098825;1.0;0.13783562305378608
EXIGUOBACTERIUM;4.0;3.72302665558372;2.0;1.7784547098584265
EHRLICHIA;4.0;4.03125720185329;0.0;0.007878960491132002
ROSEOCOCCUS;3.0;3.0297006175714944;1.0;0.0005740549439375887
CELLULOSILYTICUM;9.0;7.638263890206446;1.0;1.000841847841829
CLOACIMONETES_FGL12-B44_GENUS;2.0;2.005723557372299;0.0;0.0022990475026185564
[EUBACTERIUM]_SAPHENUM_GROUP;16.0;18.806370911638545;5.0;8.763899179601701
SELENOMONAS;11.0;13.267972283050728;3.0;4.207189797591056
GORDONIBACTER;3.0;3.6861786591391152;1.0;1.40515064088547
PARACOCCUS;8.0;8.001493954491888;3.0;3.1309113183084296
FUSOBACTERIUM;6.0;6.000063830044695;1.0;1.3844261183921875
OLIGOFLEXACEAE_GENUS;4.0;4.001463959585275;0.0;1.1166922984181225e-05
RHODOFERAX;1.0;1.477885049577769;2.0;0.0019088360760410564
PELOTOMACULUM;5.0;6.173157476975864;0.0;0.5633907927515519
SPHAEROCHAETA;7.0;6.413734415859794;4.0;4.130357833647006
ALLOSCARDOVIA;1.0;1.2757210122224674;0.0;0.001171081366456187
[EUBACTERIUM]_VENTRIOSUM_GROUP;5.0;5.348734889082499;4.0;6.489254138786139
[EUBACTERIUM]_ELIGENS_GROUP;3.0;3.0106431055628438;0.0;0.6223379612561654
PLANCTOMYCETACEAE_GENUS;8.0;7.7667219902306055;1.0;3.2546744261696103
VIBRIO;8.0;8.001829872354453;4.0;5.332959897383404
BACTEROIDETES_VADINHA17_GENUS;13.0;14.002997808280643;1.0;2.2813429261727576
PARACRAUROCOCCUS;2.0;1.0000509951712113;1.0;3.0179905585137244e-05
PSEUDOALTEROMONAS;5.0;5.0022012872219825;0.0;0.015212700946172499
REHAIBACTERIUM;2.0;1.6061518387029077;0.0;0.002865813865534023
AGITOCOCCUS;1.0;1.003916688001897;0.0;1.55900691569677e-05
SPOROBACTERIUM;1.0;1.0012604343276328;0.0;4.491856893182596e-05
LACHNOSPIRACEAE_UCG-004;11.0;10.18249663916992;3.0;2.660639318329182
ROSEBURIA;10.0;9.403005130690387;3.0;2.4815469354038053
CATENISPHAERA;41.0;41.00982474009682;11.0;11.000761036648441
FERRITROPHICUM;1.0;1.1676929185694394;0.0;1.1310824839676021e-05
TISTLIA;1.0;1.000472645506542;0.0;0.059346555107917844
PIRELLULA;5.0;4.008335089322893;3.0;0.24952883991325892
CHLOROFLEXI_TK10_GENUS;20.0;19.677587279859686;3.0;4.211696243003816
GRACILIBACTERIA_GENUS;8.0;8.01199348097699;1.0;1.0072125021695548
SANDARACINUS;18.0;16.660415981748116;1.0;1.004021934495877
SPOROBACTER;45.0;40.67402543530278;10.0;8.638339154772623
FLAVISOLIBACTER;5.0;5.007057840512635;7.0;4.000777051798725
GLUCONACETOBACTER;2.0;2.444414219277571;0.0;0.4360206389840449
AERISCARDOVIA;1.0;1.0034089085537923;0.0;5.6687511576382745e-05
AZOVIBRIO;1.0;1.0009506077270294;0.0;0.006718362761373649
THERMOGYMNOMONAS;2.0;1.7298828710320395;2.0;1.1635290065123726e-05
HYDROGENISPORA;10.0;10.314450145562747;2.0;1.0022594045578064
BACILLACEAE_GENUS;1.0;1.0090411691170722;2.0;6.890480997214451e-05
TERRIGLOBUS;2.0;1.4593997309966407;0.0;0.00010548371084131633
CALDILINEA;11.0;11.86872040088313;2.0;3.333830858827788
PARCUBACTERIA_GENUS;2.0;2.0003022086619926;1.0;1.0173620162106802
AMARICOCCUS;8.0;10.743753222575611;0.0;3.944152997660242
PORTIBACTER;11.0;11.37912545053474;3.0;0.4278819687744518
HYDROGENOPHAGA;3.0;2.000252834790417;0.0;0.0030418967335536272
EUZEBYA;3.0;3.000864201526479;0.0;0.00021130978102782444
PLEOMORPHOBACTERIUM;6.0;5.501912894015592;2.0;1.2346834965881992
MYCOPLASMA;16.0;17.00012727727409;5.0;4.339585436579338
REYRANELLA;3.0;3.2626355395496685;1.0;0.0015278106676713298
GLOBICATELLA;2.0;2.000467505982145;0.0;0.4113132476284002
VERTICA;1.0;1.0074500824091253;0.0;0.002960737602062498
VERTICIA;1.0;0.15512662707470035;0.0;6.696730113139231e-05
SPHINGOBIUM;5.0;5.002004151739955;1.0;2.010525575038634
VIRGISPORANGIUM;1.0;1.0001983106559913;0.0;0.6703931535032626
ETHANOLIGENENS;2.0;1.0186915238699765;0.0;0.0014237495738806563
EUBACTERIACEAE_GENUS;1.0;1.0004592746974792;0.0;0.0002465392618900972
MUCILAGINIBACTER;11.0;13.500921711297922;3.0;2.2054737557321515
ALKANINDIGES;2.0;2.784107100838897;1.0;4.669243568214131e-06
SACCHARIBACTERIA_GENUS;7.0;7.709003317292211;2.0;1.5332000625725413
HALOBACTERIOVORAX;3.0;3.6152910597931776;0.0;7.627503928953061e-05
ARIDIBACTER;9.0;9.001250748816187;1.0;2.0003864077596374
WOLBACHIA;1.0;1.0021352853262337;0.0;0.0019293880006313914
HESPELLIA;3.0;1.2981482870438033;1.0;1.0003472437152554
SERRATIA;8.0;9.356120007306842;0.0;1.910643692934156
PHYCICOCCUS;3.0;3.765190795924314;0.0;1.0003651904818525
LEADBETTERELLA;1.0;1.0000334741681418;0.0;8.37617446513274e-05
PORPHYROMONADACEAE_GENUS;2.0;2.0004551757324585;0.0;0.05447019797820686
PLEOMORPHOMONAS;3.0;3.0034631502182014;0.0;0.4389719508526291
GEOTHRIX;30.0;29.772322858350645;7.0;5.809776148192556
LACHNOSPIRACEAE_NK4A136_GROUP;31.0;24.890317494642172;9.0;9.031547735010633
DESULFOVIBRIO;32.0;30.798157705783936;5.0;7.493880645272068
ALPHAPROTEOBACTERIA_GENUS;13.0;13.458231919694272;2.0;3.060629101189902
LUTEIMONAS;5.0;4.000377144570845;2.0;0.00025795598454492197
PARVULARCULA;8.0;8.563979150681254;0.0;0.001631970691344825
DESULFOBACTERIUM;5.0;2.0812722641199297;3.0;2.6463317359242082
CATELLATOSPORA;5.0;6.8507491743418045;2.0;4.513409550869241
SPHINGOPYXIS;6.0;5.000078258552858;1.0;1.5989951079044107
OCEANISPHAERA;1.0;1.0555823231766364;0.0;0.00031077575714235587
SYNTROPHOBACTER;10.0;9.56108086653073;2.0;2.0000038442964843
OLIGOFLEXALES_0319-6G20_GENUS;11.0;11.00213113427975;5.0;4.0181146341331
DIETZIA;3.0;3.001370659992375;1.0;1.0028824378544734
LACHNOCLOSTRIDIUM;55.0;61.62148589085751;15.0;15.42181795044904
DESULFATIGLANS;9.0;9.000735113230443;8.0;7.000005685442556
METHYLOBACTERIUM;4.0;3.005811274701131;1.0;0.5155792617221391
BACTEROIDALES_GENUS;6.0;6.001094687446569;3.0;3.067023855209497
VAGOCOCCUS;5.0;5.493793979045339;2.0;2.1188426623423484
DESULFOBULBUS;13.0;14.505624733186512;3.0;3.2704840618010866
DEFERRIBACTERES_GENUS;22.0;22.787329610250673;3.0;4.287458323015938
SPIROCHAETA;20.0;18.643162599560046;2.0;1.931132128167138
DEHALOCOCCOIDES;11.0;13.908449174725737;6.0;8.076169818983232
AMYCOLATOPSIS;2.0;2.0000265814233344;1.0;2.6278206204053122e-05
