index,genus
489,BACILLUS
490,BACILLUS
493,DESULFOMONILE
495,ANAEROTRUNCUS
496,THERMOANAEROBACULUM
498,LACTOBACILLUS
499,LACTOBACILLUS
500,LACTOBACILLUS
501,METHANOBACTERIUM
503,ROSEOMONAS
504,ECTOTHIORHODOSPIRA
505,PARASUTTERELLA
506,LACTOBACILLUS
507,LACTOBACILLUS
509,ECTOTHIORHODOSPIRA
510,RICKETTSIALES_GENUS
511,LIMNOCHORDACEAE_GENUS
512,LACTOBACILLUS
514,LACTOBACILLUS
515,BRACHYBACTERIUM
516,GEORGENIA
517,BREVIBACTERIUM
518,CALORAMATOR
519,CALORIBACTERIUM
520,PILIBACTER
521,CHRISTENSENELLACEAE_R-7_GROUP
522,INTESTINIMONAS
523,GEOMICROBIUM
524,CHRISTENSENELLACEAE_R-7_GROUP
526,FLAVOBACTERIUM
527,TAIBAIELLA
530,ALISTIPES
532,OCEANOSPIRILLACEAE_GENUS
533,ATOPOSTIPES
534,SPHINGOMONAS
535,LACHNOSPIRACEAE_GENUS
536,CLOSTRIDIUM
538,IGNAVIBACTERIUM
539,EUBACTERIUM
541,METHANOSPHAERULA
543,LACTOCOCCUS
544,RUMINOCOCCACEAE_GENUS
545,COPROBACILLUS
546,CLOSTRIDIALES_GENUS
547,RUMINOCOCCACEAE_GENUS
548,MOBILITALEA
549,CHRISTENSENELLA
550,GAIELLA
551,CHRISTENSENELLACEAE_R-7_GROUP
552,CHRISTENSENELLA
553,OXOBACTER
554,OXOBACTER
555,LYSINIBACILLUS
556,RUMINOCOCCACEAE_GENUS
559,CHRISTENSENELLA
561,CAPNOCYTOPHAGA
562,GRACILIBACTER
563,CHRISTENSENELLA
564,GEMMATIMONADETES_GENUS
565,ODORIBACTER
566,SLACKIA
567,CORIOBACTERIACEAE_GENUS
568,CHRISTENSENELLACEAE_R-7_GROUP
569,PHENYLOBACTERIUM
570,ANAPLASMA
571,DEPENDENTIAE_[TM6]_GENUS
572,ALIIDIOMARINA
574,ACETOBACTER
575,LACHNOSPIRACEAE_GENUS
576,GASTRANAEROPHILALES_GENUS
577,ACHOLEPLASMA
578,CHRISTENSENELLACEAE_R-7_GROUP
580,GASTRANAEROPHILALES_GENUS
581,THERMOMONOSPORA
585,CALDITHRIX
586,CHRISTENSENELLACEAE_R-7_GROUP
587,ANAEROBACTERIUM
590,GASTRANAEROPHILALES_GENUS
592,LACHNOSPIRACEAE_AC2044_GROUP
593,PREVOTELLA
594,CALDITHRIX
595,RUMINICLOSTRIDIUM
596,SOLOBACTERIUM
597,ROMBOUTSIA
598,LACHNOSPIRACEAE_GENUS
599,RIKENELLACEAE_RC9_GUT_GROUP
600,LACHNOSPIRACEAE_UCG-005
601,LACHNOCLOSTRIDIUM
602,CORYNEBACTERIUM
603,ACHOLEPLASMA
604,CHRISTENSENELLACEAE_R-7_GROUP
605,FAECALITALEA
606,DELTAPROTEOBACTERIA_NB1-J_GENUS
607,MELGHIRIBACILLUS
610,RIKENELLACEAE_RC9_GUT_GROUP
612,ANAEROBACTERIUM
613,BACTEROIDETES_GENUS
614,BACTEROIDETES_VC2.1_GENUS
615,BACTEROIDETES_VC2.1_GENUS
616,BACTEROIDALES_GENUS
617,BACTEROIDETES_SB-5_GENUS
618,CORIOBACTERIACEAE_GENUS
622,DESULFATIGLANS
623,ANAEROSPOROBACTER
624,LACHNOSPIRACEAE_NK3A20_GROUP
625,DRACONIBACTERIUM
626,ACIDOBACTERIACEAE_GENUS
627,MARINIMICROBIUM
629,METHYLOBACTERIACEAE_GENUS
630,RHODOCOCCUS
633,ERYSIPELOTHRIX
636,EGGERTHELLA
638,DESULFOBACTERACEAE_GENUS
639,PARASUTTERELLA
640,FUSOBACTERIUM
641,SHUTTLEWORTHIA
642,ENTEROCOCCUS
643,PORPHYROMONAS
644,PSEUDOCLAVIBACTER
647,DESULFONISPORA
648,DESULFOMONILE
649,STREPTOSPORANGIALES_GENUS
650,EMPEDOBACTER
652,RUBROBACTER
653,DESULFATIGLANS
654,BREVIBACTERIUM
655,THERMACETOGENIUM
656,RIKENELLACEAE_M2PB4-61
657,CORIOBACTERIACEAE_GENUS
658,BURKHOLDERIALES_GENUS
659,CALDIBACILLUS
660,FAECALIBACTERIUM
661,GARCIELLA
663,PSEUDOFLAVONIFRACTOR
666,FRUCTOBACILLUS
667,CORIOBACTERIACEAE_GENUS
668,RUBROBACTER
669,HALOCELLA
670,AGGREGATIBACTER
671,SYNTROPHOTHERMUS_GENUS
672,ACIDIPILA
673,LYSINIMONAS
674,EXIGUOBACTERIUM
676,PORPHYROMONAS
677,PORPHYROMONAS
678,PORPHYROMONAS
679,PORPHYROMONAS
680,PORPHYROMONAS
681,PORPHYROMONAS
682,PORPHYROMONAS
683,PREVOTELLA
685,PREVOTELLA
686,PREVOTELLA
687,PREVOTELLA
689,PREVOTELLA
691,PREVOTELLA
692,PREVOTELLA
694,PREVOTELLA
695,PREVOTELLA
696,THALASSOLITUUS
697,STENOTROPHOMONAS
698,PEPTOCOCCACEAE_GENUS
700,EHRLICHIA
701,EHRLICHIA
702,PIRELLULA
703,PLANCTOMYCETACEAE_GENUS
704,FERRIMICROBIUM
705,ROSEOCOCCUS
707,ALLOPREVOTELLA
708,CELLULOSILYTICUM
709,SIMIDUIA
711,CLOACIMONETES_FGL12-B44_GENUS
712,VIBRIONIMONAS
713,PREVOTELLA
715,VERRUCOMICROBIA_WCHB1-41_GENUS
717,[EUBACTERIUM]_SAPHENUM_GROUP
718,SELENOMONAS
719,LACHNOSPIRACEAE_GENUS
720,RUMINOCOCCACEAE_GENUS
721,AESTUARIISPIRA
722,ENTEROCOCCUS
723,BACILLUS
724,LEPTOTRICHIA
725,LYSOBACTER
726,OLSENELLA
727,BRACHYBACTERIUM
728,ANAEROVORAX
729,STREPTOMYCES
731,SLACKIA
733,PARACOCCUS
734,BACILLUS
737,ATOPOSTIPES
739,PORPHYROMONAS
740,LEPTOTRICHIA
741,BACILLUS
742,SYNTROPHOTHERMUS_GENUS
743,ACTINOPLANES
744,[EUBACTERIUM]_COPROSTANOLIGENES_GROUP
745,FUSOBACTERIUM
746,OLIGOFLEXACEAE_GENUS
748,LACTOBACILLUS
749,RHODOFERAX
750,CORIOBACTERIACEAE_GENUS
753,PSEUDOCLAVIBACTER
754,THERMOGUTTA
755,BACTEROIDES
756,DESULFOMICROBIUM
758,BACILLUS
760,BETAPROTEOBACTERIA_GENUS
761,LACTOBACILLUS
763,RUMINOCOCCUS
764,LACHNOSPIRACEAE_GENUS
765,LACHNOSPIRACEAE_GENUS
768,ANAEROBACTERIUM
770,[EUBACTERIUM]_VENTRIOSUM_GROUP
771,ACIDIPILA
772,GASTRANAEROPHILALES_GENUS
773,LACHNOSPIRACEAE_GENUS
774,CELLULOSILYTICUM
776,PALUDIBACTER
778,PREVOTELLA
779,PALUDIBACTER
783,[EUBACTERIUM]_ELIGENS_GROUP
785,PLANCTOMYCETACEAE_GENUS
786,RUMINOCOCCACEAE_GENUS
787,RUMINICLOSTRIDIUM
791,PREVOTELLA
793,VIBRIO
794,GASTRANAEROPHILALES_GENUS
795,RUMINICLOSTRIDIUM
796,RUMINICLOSTRIDIUM
797,VERRUCOMICROBIA_WCHB1-41_GENUS
798,RUMINOCOCCACEAE_GENUS
799,CORIOBACTERIACEAE_GENUS
800,PAPILLIBACTER
801,ACETOBACTER
803,BACTEROIDETES_VADINHA17_GENUS
804,RIKENELLACEAE_RC9_GUT_GROUP
805,BRACHYBACTERIUM
806,PREVOTELLA
807,PARACRAUROCOCCUS
809,BLAUTIA
812,LACTOBACILLUS
813,ACTINOTALEA
815,STAPHYLOCOCCUS
816,ACTINOTALEA
817,STAPHYLOCOCCUS
818,STAPHYLOCOCCUS
819,REHAIBACTERIUM
821,AGITOCOCCUS
822,ECTOTHIORHODOSPIRA
823,ECTOTHIORHODOSPIRA
824,ECTOTHIORHODOSPIRA
825,SPOROBACTERIUM
826,LACHNOSPIRACEAE_UCG-004
827,ROSEBURIA
828,[EUBACTERIUM]_VENTRIOSUM_GROUP
830,RUMINOCOCCACEAE_GENUS
833,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
834,CATENISPHAERA
839,FERRITROPHICUM
840,TISTLIA
841,RHODOPLANES
843,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
844,CHLOROFLEXI_TK10_GENUS
845,GRACILIBACTERIA_GENUS
846,PARCUBACTERIA_GENUS
847,SANDARACINUS
848,DEFERRIBACTERES_GENUS
849,SPOROBACTER
850,FLAVISOLIBACTER
851,SYNTROPHOTHERMUS_GENUS
852,PAENIBACILLUS
854,FINEGOLDIA
856,CORIOBACTERIACEAE_GENUS
857,GLUCONACETOBACTER
858,PALUDIBACTER
859,PREVOTELLA
860,VERRUCOMICROBIA_WCHB1-41_GENUS
862,ACIDIPILA
863,ACIDIPILA
864,AERISCARDOVIA
865,STREPTOCOCCUS
867,THERMOGYMNOMONAS
868,HYDROGENISPORA
869,CATENISPHAERA
871,BACILLACEAE_GENUS
875,LYSOBACTER
876,PARCUBACTERIA_GENUS
877,GAIELLA
878,SOLIRUBROBACTER
880,DESULFOMONILE
881,ANAEROSTIPES
883,PORTIBACTER
884,HYDROGENOPHAGA
886,EUZEBYA
887,KTEDONOBACTERIA_C0119_GENUS
888,PLEOMORPHOBACTERIUM
889,PSEUDOMONAS
890,LACTOBACILLUS
891,ERYSIPELOTRICHACEAE_GENUS
892,PAENIBACILLUS
893,PSEUDOMONAS
894,PSEUDOMONAS
895,ACIDIPILA
897,MYCOPLASMA
898,REYRANELLA
899,FLAVOBACTERIUM
900,LACTOBACILLUS
901,SPHINGOBACTERIUM
902,MARIVIRGA
903,GLOBICATELLA
904,WEISSELLA
907,CAULOBACTER
908,ODORIBACTER
910,BLAUTIA
911,SPHINGOBIUM
912,VIRGISPORANGIUM
913,MARINIMICROBIUM
914,ETHANOLIGENENS
915,ETHANOLIGENENS
916,RUMINICLOSTRIDIUM
917,PEDOBACTER
918,RUMINICLOSTRIDIUM
924,LACTOCOCCUS
926,PSYCHROBACTER
929,ALKANINDIGES
930,FLAVOBACTERIUM
931,EUBACTERIUM
932,EUBACTERIUM
934,SACCHARIBACTERIA_GENUS
935,HALOBACTERIOVORAX
936,ARIDIBACTER
937,WOLBACHIA
938,HYDROGENOPHAGA
939,HESPELLIA
940,ODORIBACTER
941,SERRATIA
942,MARINOMONAS
943,STREPTOCOCCUS
944,PHYCICOCCUS
946,PSEUDOMONAS
948,LEADBETTERELLA
949,GEOBACTER
950,PORPHYROMONADACEAE_GENUS
951,ALKANINDIGES
952,WEISSELLA
954,ANAEROTRUNCUS
955,BREVIBACTERIUM
956,PLEOMORPHOMONAS
957,ELUSIMICROBIALES_GENUS
958,GEOTHRIX
959,LYSOBACTER
961,HALIANGIUM
962,FLAVISOLIBACTER
964,LABILITHRIX
966,ATOPOSTIPES
967,ALLOPREVOTELLA
968,FUSOBACTERIACEAE_GENUS
969,LACHNOSPIRACEAE_NK4A136_GROUP
973,BARNESIELLA
974,PREVOTELLA
975,ALPHAPROTEOBACTERIA_GENUS
976,CHRISTENSENELLACEAE_R-7_GROUP
977,CLOSTRIDIALES_GENUS
978,PORPHYROMONAS
979,LUTEIMONAS
980,DYSGONOMONAS
981,THERMOBIFIDA
982,SPIROCHAETACEAE_GENUS
983,PAENIBACILLUS
984,DELTAPROTEOBACTERIA_GENUS
985,PARVULARCULA
986,ACETOBACTER
987,ACETITOMACULUM
988,SALINISPIRA
991,PAENIBACILLUS
993,CATELLATOSPORA
995,RUMINOCOCCACEAE_GENUS
997,ANAEROBACTERIUM
999,PREVOTELLA
1000,PREVOTELLA
1002,PLANCTOMYCETACEAE_GENUS
1003,PREVOTELLA
1004,CHRISTENSENELLACEAE_R-7_GROUP
1006,[EUBACTERIUM]_SAPHENUM_GROUP
1008,RUMINICLOSTRIDIUM
1009,RUMINOCOCCACEAE_GENUS
1011,RUMINICLOSTRIDIUM
1012,ACETITOMACULUM
1013,LACHNOSPIRACEAE_NK3A20_GROUP
1014,BARNESIELLA
1017,LACHNOSPIRACEAE_GENUS
1018,ACETIVIBRIO
1019,RUMINICLOSTRIDIUM
1020,SPHINGOPYXIS
1023,ACIDOBACTERIACEAE_GENUS
1025,SYNTROPHOBACTER
1027,OLIGOFLEXALES_0319-6G20_GENUS
1028,DIETZIA
1030,CORYNEBACTERIUM
1031,ANAEROVORAX
1034,OLIGOFLEXALES_0319-6G20_GENUS
1035,CLOSTRIDIUM
1036,[EUBACTERIUM]_SAPHENUM_GROUP
1037,SEDIMENTIBACTER
1038,CHRISTENSENELLACEAE_R-7_GROUP
1039,METHYLOBACTERIUM
1041,BACTEROIDALES_GENUS
1042,ANAEROBACTERIUM
1043,METHYLOCYSTIS
1044,MOBILITALEA
1045,VAGOCOCCUS
1046,DESULFOBULBUS
1047,DELTAPROTEOBACTERIA_NB1-J_GENUS
1048,DEFERRIBACTERES_GENUS
1049,LEGIONELLALES_GENUS
1050,SPIROCHAETA
1051,DEHALOCOCCOIDES
1053,AMYCOLATOPSIS
1054,ALIIFODINIBIUS
1055,COPROBACTER
1056,SACCHAROFERMENTANS
1058,LEPTOTRICHIA
1060,STAPHYLOCOCCUS
1061,ROSEIFLEXUS
1062,ACTINOMYCES
1063,ACTINOMYCES
1064,LACHNOSPIRACEAE_GENUS
1065,ANAEROBACTERIUM
1066,BACTEROIDES
1067,PREVOTELLA
1068,TYZZERELLA
1069,RUMINICLOSTRIDIUM
1070,BARNESIELLA
1071,CHRISTENSENELLACEAE_R-7_GROUP
1073,ANAEROBACTERIUM
1074,CORYNEBACTERIUM
1075,[EUBACTERIUM]_SAPHENUM_GROUP
1076,ACETOBACTER
1077,LACHNOSPIRACEAE_GENUS
1078,PREVOTELLA
1080,ANAEROBACTERIUM
1081,RUMINOCOCCACEAE_GENUS
1082,PSEUDOHONGIELLA
1083,RUMINICLOSTRIDIUM
1084,PAPILLIBACTER
1086,GASTRANAEROPHILALES_GENUS
1087,GASTRANAEROPHILALES_GENUS
1088,LACHNOSPIRACEAE_UCG-005
1089,PARVULARCULA
1091,MARIVIRGA
1092,RUMINOCOCCUS
1093,GASTRANAEROPHILALES_GENUS
1095,RUMINICLOSTRIDIUM
1097,VULCANIIBACTERIUM
1098,LABILITHRIX
1099,RHODANOBACTER
1102,CAMPYLOBACTER
1103,CHRISTENSENELLACEAE_R-7_GROUP
1105,DEHALOCOCCOIDES
1107,BACTEROIDIA_GENUS
1108,COPROBACTER
1111,LACHNOCLOSTRIDIUM
1112,CELLULOSILYTICUM
1114,LACHNOCLOSTRIDIUM
1115,SACCHAROFERMENTANS
1116,YERSINIA
1117,MICROCOCCALES_GENUS
1119,ML635J-21_GENUS
1121,RHODOCYCLACEAE_GENUS
1122,MARINOBACTER
1123,CHLOROBIALES_OPB56_GENUS
1127,SPIROCHAETA
1128,SACCHAROFERMENTANS
1129,CORYNEBACTERIUM
1130,EMPEDOBACTER
1131,SEDIMINIBACTERIUM
1133,BRC1_GENUS
1134,SEDIMINIBACTERIUM
1138,ANAEROTRUNCUS
1139,BACTEROIDIA_GENUS
1141,BACTEROIDIA_GENUS
1142,HELICOBACTER
1144,GEMELLA
1146,BACILLUS
1148,LACTOBACILLUS
1149,LACTOBACILLUS
1150,LACTOBACILLUS
1151,LACTOBACILLUS
1152,CRONOBACTER
1154,KLEBSIELLA
1155,WEISSELLA
1157,SELENOMONAS
1158,CRONOBACTER
1159,LACTOBACILLUS
1160,ACETIVIBRIO
1162,ENTEROCOCCUS
1163,IGNAVIBACTERIALES_SM1H02_GENUS
1164,RUBELLIMICROBIUM
1165,PALUDIBACTER
1166,CATENISPHAERA
1167,CALDERIHABITANS
1169,MEIOTHERMUS
1170,ALIIFODINIBIUS
1172,CASTELLANIELLA
1173,PROMICROMONOSPORA
1174,TREPONEMA
1177,ACETOBACTERACEAE_GENUS
1180,LACTOBACILLUS
1181,FULVIVIRGA
1182,LACTOBACILLUS
1183,PREVOTELLA
1184,[EUBACTERIUM]_SAPHENUM_GROUP
1185,LEEIA
1186,STREPTOCOCCUS
1188,DEFLUVIIMONAS
1191,DESULFOMICROBIUM
1192,SACCHAROTHRIX
1193,STREPTOCOCCUS
1194,STREPTOCOCCUS
1195,STAPHYLOCOCCUS
1196,MEGANEMA
1198,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
1200,BACILLUS
1203,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
1204,BREVIBACILLUS
1206,AEROCOCCUS
1207,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
1208,[EUBACTERIUM]_RUMINANTIUM_GROUP
1209,AZOSPIRILLUM
1210,ACIDIPILA
1211,THERMOVENABULUM
1212,TREPONEMA
1213,ARMATIMONAS
1216,LEWINELLA
1217,CATENISPHAERA
1218,LACTOBACILLUS
1219,DESULFOSARCINA
1220,VERRUCOMICROBIA_WCHB1-41_GENUS
1221,VERRUCOMICROBIA_WCHB1-41_GENUS
1222,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
1225,DESULFUROMONAS
1226,MARIHABITANS
1227,SACCHAROSPIRILLUM
1228,PSEUDOMONAS
1229,PARACOCCUS
1230,NOVOSPHINGOBIUM
1231,MARINOSCILLUM
1232,GEOBACILLUS
1233,DESULFUROMONAS
